departamento,provincia,candidato,partido,votos
AMAZONAS,CHACHAPOYAS,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,634
AMAZONAS,CHACHAPOYAS,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,396
AMAZONAS,CHACHAPOYAS,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,342
AMAZONAS,CHACHAPOYAS,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,279
AMAZONAS,CHACHAPOYAS,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,250
AMAZONAS,CHACHAPOYAS,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,234
AMAZONAS,CHACHAPOYAS,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,216
AMAZONAS,CHACHAPOYAS,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,177
AMAZONAS,CHACHAPOYAS,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,173
AMAZONAS,CHACHAPOYAS,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,169
AMAZONAS,CHACHAPOYAS,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,131
AMAZONAS,CHACHAPOYAS,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,116
AMAZONAS,CHACHAPOYAS,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,79
AMAZONAS,CHACHAPOYAS,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,64
AMAZONAS,CHACHAPOYAS,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,59
AMAZONAS,CHACHAPOYAS,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,51
AMAZONAS,CHACHAPOYAS,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,51
AMAZONAS,CHACHAPOYAS,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,42
AMAZONAS,CHACHAPOYAS,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,40
AMAZONAS,CHACHAPOYAS,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,40
AMAZONAS,CHACHAPOYAS,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,39
AMAZONAS,CHACHAPOYAS,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,26
AMAZONAS,CHACHAPOYAS,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,25
AMAZONAS,CHACHAPOYAS,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,24
AMAZONAS,CHACHAPOYAS,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,21
AMAZONAS,CHACHAPOYAS,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,14
AMAZONAS,CHACHAPOYAS,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,12
AMAZONAS,CONDORCANQUI,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10030
AMAZONAS,CONDORCANQUI,,VOTOS EN BLANCO,3508
AMAZONAS,CONDORCANQUI,,VOTOS NULOS,1273
AMAZONAS,CONDORCANQUI,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,682
AMAZONAS,CONDORCANQUI,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,600
AMAZONAS,CONDORCANQUI,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,389
AMAZONAS,CONDORCANQUI,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,364
AMAZONAS,CONDORCANQUI,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,237
AMAZONAS,CONDORCANQUI,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,209
AMAZONAS,CONDORCANQUI,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,205
