departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,BONGARÁ,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,142,100.0,142.0,0.0,215517.0175998866,0.06588806841398807,0.06588806841398807
AMAZONAS,BONGARÁ,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,127,100.0,127.0,0.0,215517.0175998866,0.05892806118715834,0.05892806118715834
AMAZONAS,BONGARÁ,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,120,100.0,120.0,0.0,215517.0175998866,0.05568005781463781,0.05568005781463781
AMAZONAS,BONGARÁ,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,107,100.0,107.0,0.0,215517.0175998866,0.04964805155138538,0.04964805155138538
AMAZONAS,BONGARÁ,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,63,100.0,63.0,0.0,215517.0175998866,0.02923203035268485,0.02923203035268485
AMAZONAS,BONGARÁ,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,57,100.0,57.0,0.0,215517.0175998866,0.026448027461952957,0.026448027461952957
AMAZONAS,BONGARÁ,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,53,100.0,53.0,0.0,215517.0175998866,0.024592025534798365,0.024592025534798365
AMAZONAS,BONGARÁ,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,52,100.0,52.0,0.0,215517.0175998866,0.02412802505300972,0.02412802505300972
AMAZONAS,BONGARÁ,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,49,100.0,49.0,0.0,215517.0175998866,0.02273602360764377,0.02273602360764377
AMAZONAS,BONGARÁ,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,49,100.0,49.0,0.0,215517.0175998866,0.02273602360764377,0.02273602360764377
AMAZONAS,BONGARÁ,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,37,100.0,37.0,0.0,215517.0175998866,0.017168017826179993,0.017168017826179993
AMAZONAS,BONGARÁ,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,28,100.0,28.0,0.0,215517.0175998866,0.012992013490082156,0.012992013490082156
AMAZONAS,BONGARÁ,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,25,100.0,25.0,0.0,215517.0175998866,0.01160001204471621,0.01160001204471621
AMAZONAS,BONGARÁ,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,24,100.0,24.0,0.0,215517.0175998866,0.011136011562927562,0.011136011562927562
AMAZONAS,BONGARÁ,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,21,100.0,21.0,0.0,215517.0175998866,0.009744010117561616,0.009744010117561616
