departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
AMAZONAS,BONGARÁ,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,127,84,84,100.0,11441,127.0,0.0
AMAZONAS,BONGARÁ,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,120,84,84,100.0,11441,120.0,0.0
AMAZONAS,BONGARÁ,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,107,84,84,100.0,11441,107.0,0.0
AMAZONAS,BONGARÁ,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,63,84,84,100.0,11441,63.0,0.0
AMAZONAS,BONGARÁ,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,57,84,84,100.0,11441,57.0,0.0
AMAZONAS,BONGARÁ,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,53,84,84,100.0,11441,53.0,0.0
AMAZONAS,BONGARÁ,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,52,84,84,100.0,11441,52.0,0.0
AMAZONAS,BONGARÁ,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,49,84,84,100.0,11441,49.0,0.0
AMAZONAS,BONGARÁ,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,49,84,84,100.0,11441,49.0,0.0
AMAZONAS,BONGARÁ,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,37,84,84,100.0,11441,37.0,0.0
AMAZONAS,BONGARÁ,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,28,84,84,100.0,11441,28.0,0.0
AMAZONAS,BONGARÁ,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,25,84,84,100.0,11441,25.0,0.0
AMAZONAS,BONGARÁ,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,24,84,84,100.0,11441,24.0,0.0
AMAZONAS,BONGARÁ,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,21,84,84,100.0,11441,21.0,0.0
AMAZONAS,BONGARÁ,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,20,84,84,100.0,11441,20.0,0.0
AMAZONAS,BONGARÁ,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,20,84,84,100.0,11441,20.0,0.0
AMAZONAS,BONGARÁ,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,18,84,84,100.0,11441,18.0,0.0
AMAZONAS,BONGARÁ,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,15,84,84,100.0,11441,15.0,0.0
AMAZONAS,BONGARÁ,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,15,84,84,100.0,11441,15.0,0.0
AMAZONAS,BONGARÁ,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,13,84,84,100.0,11441,13.0,0.0
AMAZONAS,BONGARÁ,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10,84,84,100.0,11441,10.0,0.0
AMAZONAS,BONGARÁ,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,4,84,84,100.0,11441,4.0,0.0
AMAZONAS,BONGARÁ,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,2,84,84,100.0,11441,2.0,0.0
AMAZONAS,CHACHAPOYAS,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4251,170,154,90.588,23274,4692.674526427342,441.67452642734224
AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,4085,170,154,90.588,23274,4509.42729721376,424.42729721375963
AMAZONAS,CHACHAPOYAS,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3893,170,154,90.588,23274,4297.478694749857,404.4786947498569
AMAZONAS,CHACHAPOYAS,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2735,170,154,90.588,23274,3019.163686139445,284.16368613944496
AMAZONAS,CHACHAPOYAS,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,2553,170,154,90.588,23274,2818.254073387204,265.2540733872038
AMAZONAS,CHACHAPOYAS,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2124,170,154,90.588,23274,2344.6814147569216,220.68141475692164
AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,1946,170,154,90.588,23274,2148.1873978893454,202.18739788934545
AMAZONAS,CHACHAPOYAS,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,1482,170,154,90.588,23274,1635.9782752682477,153.97827526824767
AMAZONAS,CHACHAPOYAS,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1014,170,154,90.588,23274,1119.3535567624851,105.35355676248514
AMAZONAS,CHACHAPOYAS,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,786,170,154,90.588,23274,867.664591336601,81.664591336601
AMAZONAS,CHACHAPOYAS,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,732,170,154,90.588,23274,808.0540468936284,76.05404689362842
AMAZONAS,CHACHAPOYAS,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,634,170,154,90.588,23274,699.8719477193448,65.8719477193448
AMAZONAS,CHACHAPOYAS,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,396,170,154,90.588,23274,437.14399258179895,41.143992581798955
AMAZONAS,CHACHAPOYAS,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,342,170,154,90.588,23274,377.5334481388264,35.53344813882637
AMAZONAS,CHACHAPOYAS,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,279,170,154,90.588,23274,307.9878129553584,28.98781295535838
AMAZONAS,CHACHAPOYAS,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,250,170,154,90.588,23274,275.97474279153977,25.974742791539768
AMAZONAS,CHACHAPOYAS,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,234,170,154,90.588,23274,258.3123592528812,24.31235925288121
AMAZONAS,CHACHAPOYAS,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,216,170,154,90.588,23274,238.44217777189033,22.44217777189033
AMAZONAS,CHACHAPOYAS,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,177,170,154,90.588,23274,195.39011789641015,18.390117896410146
AMAZONAS,CHACHAPOYAS,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,173,170,154,90.588,23274,190.9745220117455,17.974522011745506
AMAZONAS,CHACHAPOYAS,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,169,170,154,90.588,23274,186.55892612708087,17.558926127080866
AMAZONAS,CHACHAPOYAS,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,131,170,154,90.588,23274,144.61076522276682,13.610765222766815
AMAZONAS,CHACHAPOYAS,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,116,170,154,90.588,23274,128.05228065527444,12.052280655274444
AMAZONAS,CHACHAPOYAS,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,79,170,154,90.588,23274,87.20801872212655,8.208018722126553
AMAZONAS,CHACHAPOYAS,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,64,170,154,90.588,23274,70.64953415463418,6.649534154634182
AMAZONAS,CHACHAPOYAS,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,59,170,154,90.588,23274,65.13003929880338,6.130039298803382
AMAZONAS,CHACHAPOYAS,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,51,170,154,90.588,23274,56.29884752947411,5.298847529474109
AMAZONAS,CHACHAPOYAS,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,51,170,154,90.588,23274,56.29884752947411,5.298847529474109
AMAZONAS,CHACHAPOYAS,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,42,170,154,90.588,23274,46.36375678897868,4.363756788978677
AMAZONAS,CHACHAPOYAS,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,40,170,154,90.588,23274,44.15595884664636,4.155958846646357
AMAZONAS,CHACHAPOYAS,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,40,170,154,90.588,23274,44.15595884664636,4.155958846646357
